GEMEINDE,ORT,PLZ,STRASSE,ENSEMBLE,OBJEKT,GVZ_NR,BAUJAHR,EINSTUFUNG,FESTSETZUNG,ERLASS,SCHUTZ,GRUNDBUCHEINTRAG,OST,NORD,E,N
Zürich,Zürich,8055,,Zürich/Uitikon/Schlieren: Sperrstelle 5053,Kleinunterstand A04964,,1,kantonal,,,-,,2679175.88894681,1245909.85368311,2679175.889,1245909.854
Zürich,Zürich,8004,Herdernstrasse 63,Zürich: Schlachthof,Verwaltungsgebäude,26403119,1907,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2680646.90905441,1248662.85502808,2680646.909,1248662.855
Zürich,Zürich,8003,Aemtlerstrasse 197,"Zürich: Friedhof Sihlfeld A, B, C, D und E mit Hochbauten, Gartenanlage und Grabmäler bedeutender Persönlichkeiten",Gärtnerhaus,27701478,1902,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2680790.90209346,1247917.85180195,2680790.902,1247917.852
Zürich,Zürich,8003,Aemtlerstrasse 173,"Zürich: Friedhof Sihlfeld A, B, C, D und E mit Hochbauten, Gartenanlage und Grabmäler bedeutender Persönlichkeiten","Gewächshaus, sog. «Überwinterungshalle»",27700531,1880,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2680834.90143305,1247844.85147526,2680834.901,1247844.852
Zürich,Zürich,8003,Birmensdorferstrasse 80,Zürich: Bahnhof SBB Station Zürich Wiedikon,Aufnahmegebäude mit Reiterstellwerk,27702412,1928,regional,,,-,,2681949.89343078,1247291.84095507,2681949.893,1247291.841
Zürich,Zürich,8002,Bürglistrasse 11,Zürich: ref. Kirchgemeinde Enge; Zürich: Pfarrhaus I und II der reformierten Kirchgemeinde Enge,Pfarrhaus Enge II,26501040,1900,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,PD,19890613,2682398.88757023,1246382.83774885,2682398.888,1246382.838
Zürich,Zürich,8002,Gablerstrasse 20,Zürich: Rietberg Museum Ensemble mit Parkanlage,Ökonomiegebäude der Villa Schönberg,26500254,1887,kantonal,,,-,,2682412.88598032,1245969.83822064,2682412.886,1245969.838
Zürich,Zürich,8002,Gablerstrasse 17,Zürich: Rietberg Museum Ensemble mit Parkanlage,Erweiterungsbau,26500094,2007,kantonal,,,-,,2682427.88573059,1245912.83814969,2682427.886,1245912.838
Zürich,Zürich,8002,Gablerstrasse 15,Zürich: Rietberg Museum Ensemble mit Parkanlage,Villa Wesendonck,26500094,1857,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682467.88569819,1245928.8377093,2682467.886,1245928.838
Zürich,Zürich,8001,Freigutstrasse 37,,Synagoge,28101882,1924,kantonal,20170228,"BDV Nr. 1224/2016 mit Vertrag, Einzelaufstufung",ÖREB,20170508,2682431.88987327,1247013.83646173,2682431.89,1247013.837
Zürich,Zürich,8002,Brandschenkestrasse 48,,Freigut,26500087,,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20010424,2682440.88963368,1246955.83645475,2682440.89,1246955.837
Zürich,Zürich,8004,Kanonengasse 20; Militärstrasse 49,"Zürich: Kasernenareal; Zürich: Zeughäuser 1, 2, und 5",Zeughaus 2,26400568,1866,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682490.89811517,1248016.83916409,2682490.898,1248016.839
Zürich,Zürich,8004,Lagerstrasse 92,Zürich: Bahnhofanlage Zürich-Hauptbahnhof,Zentralstellwerk Hauptbahnhof,26400932,1963,kantonal,,,-,,2682503.90005035,1248237.8402165,2682503.9,1248237.84
Zürich,Zürich,8005,,Zürich: Sperrstelle 6090,Infanteriewerk A04856,,1,regional,,,-,,2682335.90905856,1249169.84593897,2682335.909,1249169.846
Zürich,Zürich,8001,Bahnhofstrasse 25; Bahnhofstrasse 27; Bärengasse 5; Bärengasse 9; Paradeplatz 8,,Credit Suisse CS Hauptsitz,28101922,1872,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683086.8940378,1247141.83430401,2683086.894,1247141.834
