VOLUMEN,ANZAHL_GEBAEUDE,BAUJAHR,QUALITAET,SHAPE.AREA,SHAPE.LEN
13030,4,1960,0.50959325,9999.950001,399.999000045
15582,5,2001,0.42099859,9999.950001,399.999000045
33040,14,1960,0.66467918,10000,400.00000001
9735,3,1960,1,10000.000001,400.00000002
57745,4,1980,1,10000.050000000001,400.001000005
21554,12,2001,0.43912963,9999.950001,399.999000045
38710,4,1990,1,9999.9,399.99800004
6541,4,1960,0.5029812,10000.050000000001,400.001000005
25389,8,1960,0.70313915,10000,400.00000004
18836,15,1960,0.49129327,9999.9,399.99800004
30514,7,2001,0.45651177,9999.950001,399.999000045
18010,3,1960,1,9999.950001,399.999000045
15373,7,1960,1,10000.1,400.00200001
12146,7,1980,0.80849662,9999.900002,399.99800005
13038,5,1960,1,9999.900001,399.99800003
43235,7,2001,0.77182838,9999.9,399.99800001
29732,3,1960,1,10000.100001,400.00200003
21500,9,1960,1,10000.1,400.00200003
17222,8,1960,0.96353501,10000.150001,400.00300004499906
27010,5,1980,0.80303591,9999.950001,399.999000045
21262,16,1960,0.6053993,9999.9,399.99800004
97570,3,1990,0.63943835,9999.9,399.99800004
13170,12,1960,0.79453303,10000.0500005,400.001000015
77734,6,1980,0.83579901,9999.950001,399.999000045
61600,4,1990,0.89123377,9999.9,399.99800001
27225,4,1990,0.89311295,9999.9,399.99800001
11581,16,1960,0.8665918300000001,10000.150001,400.00300004499906
37308,8,1980,0.76211536,10000.050000000001,400.001000025
19473,3,1980,1,10000.1500005,400.003000015
20030,5,1960,1,10000.1,400.00200003
28120,15,1960,0.99768848,10000.0000005,400.00000003
28704,6,2001,0.80476589,10000.1,400.00200003
31847,13,1960,0.89801237,9999.900002,399.99800005
5203,8,1960,1,9999.9499995,399.999000005
20890,5,1980,1,10000.1500005,400.003000015
28696,4,1980,0.81460831,9999.95,399.99900001500004
59490,7,2001,0.69492352,10000.2,400.00400001
29579,7,1960,0.5836235200000001,9999.950001,399.999000035
1138,3,1920,0.55360281,9999.95,399.999000025
131380,3,2001,1,10000.000002,400.00000005
36967,5,1980,0.60324073,10000.1500005,400.003000015
35442,12,1920,0.52626827,9999.95,399.99900001500004
36620,5,1990,0.53986892,9999.900001,399.99800002
7134,10,1960,0.86543314,10000,400.00000001
25603,4,1980,0.8061555300000001,9999.9,399.99800001
9936,4,1960,1,9999.9500015,399.999000035
16398,6,1980,0.61348945,9999.95,399.999000005
7320,6,1960,0.52745902,9999.95,399.999000005
17084,5,1960,0.71903535,9999.9500005,399.99900001500004
27320,4,1960,0.7262079100000001,9999.850001,399.997000015
31885,8,1980,0.78707856,10000.000001,400.00000002
6696,6,1920,0.53061529,9999.9500005,399.99900001500004
24913,3,2001,0.7670694,10000,400.00000001
17329,6,1960,0.6881528100000001,10000.050000000001,400.001000015
90613,3,2001,0.7215852,10000.0000005,400.00000003
8550,3,1960,1,10000.000001,400.00000002
23670,7,1960,1,9999.9500005,399.99900001500004
10620,3,1960,1,9999.9500005,399.99900001500004
101083,8,2001,0.68512015,10000.0500005,400.001000015
70459,8,2000,0.74156602,9999.900001,399.99800002
15674,4,1920,0.6606482100000001,9999.95,399.99900001500004
20536,10,1960,0.85829762,10000,400.00000001
12630,4,1980,0.62311956,9999.9500005,399.99900001500004
18325,14,1960,0.51241473,10000.000001,400.00000002
56861,6,2001,1,9999.9500005,399.99900001500004
14308,7,1960,1,10000.000001,400.00000002
14890,5,1960,0.51511081,10000.000001,400.00000002
42246,12,1960,1,10000.0500005,400.001000015
37198,8,1920,0.57081026,10000.0500005,400.001000015
25546,15,1960,0.53738354,9999.9,399.99800001
19378,8,2001,0.36123439,9999.95,399.999000005
7214,6,2001,0.37011367,10000.0000005,400.00000003
20030,4,1960,1,9999.850001,399.997000015
15720,3,1960,1,10000.000001,400.00000002
28514,8,2001,0.56926422,9999.9500005,399.99900001500004
56576,6,1980,0.8333922500000001,9999.9500005,399.99900001500004
84840,3,1980,1,10000.0500005,400.001000015
55702,16,1960,0.86571398,10000,400.00000001
25887,13,1960,0.53451539,9999.9,399.99800001
18595,9,1960,0.84850766,10000,400.00000001
25042,4,1980,0.92372814,9999.95,399.999000005
21337,12,1960,0.48915030000000004,10000.050000000001,400.001000015
18607,3,1980,0.6567420900000001,9999.9500005,399.99900001500004
16081,3,2001,0.94334929,10000.050000000001,400.001000015
22173,10,1980,0.73467731,10000.050000000001,400.001000005
97000,3,2000,1,9999.9500005,399.99900001500004
30162,9,1960,1,10000.000001,400.00000002
15857,7,1960,0.59368102,10000,400.00000001
41599,7,1980,1,9999.850001,399.997000015
96420,4,2000,1,9999.9500005,399.99900001500004
18958,7,1960,0.8180187800000001,9999.9,399.99800001
23478,28,1960,1,9999.900001,399.99800003
36977,13,1920,0.5927198,9999.9500005,399.99900001500004
73872,16,1920,0.7143708,10000.100001,400.00200002
765898,6,1980,0.98464809,9999.9500005,399.99900001500004
18115,7,1960,0.9439690900000001,9999.9500005,399.99900001500004
72423,19,1960,0.52336965,10000.0500005,400.001000015
28077,3,1920,0.83591552,9999.9500005,399.99900001500004
40086,3,1990,0.71336626,10000,400.00000001
27444,8,1920,0.9238449200000001,9999.850001,399.997000015
13711,4,1920,1,9999.900001,399.99800002
79943,17,1990,0.41306931,9999.900001,399.99800002
6235,3,1920,1,9999.9500005,399.99900001500004
33585,12,1920,0.8439184200000001,9999.9500005,399.99900001500004
88603,9,1980,0.69839622,9999.9500005,399.99900001500004
28230,4,1980,0.78356358,10000.0500005,400.001000015
14169,8,1960,0.73907827,10000.0500005,400.001000015
21219,14,1960,0.98680428,9999.9500005,399.99900001500004
31853,6,1990,1,10000,400.00000001
52240,14,1960,0.56900842,10000,400.00000001
56660,12,1920,0.54376986,10000.000001,400.00000002
6257,6,1960,0.64264024,10000,400.00000001
20571,6,1960,1,10000,400.00000001
50660,17,1920,0.7947098300000001,10000.000001,400.00000002
103605,5,2001,0.53568843,10000.0500005,400.001000015
13497,12,1960,1,10000,400.00000001
28825,3,1990,0.58629662,10000,400.00000001
36705,8,1980,0.55932434,9999.9500005,399.99900001500004
39286,10,1960,0.5592323,9999.850001,399.997000015
61122,11,1920,0.36062302,10000,400.00000001
104526,18,1920,0.34746379,10000,400.00000002
25799,10,1920,1,9999.900001,399.99800002
63048,31,1920,0.9868354300000001,10000.0500005,400.001000015
36030,5,2000,0.50319178,10000.000001,400.00000002
41763,12,1960,0.59435385,10000.0500005,400.001000015
22464,7,1980,0.52239138,10000.050000000001,400.001000005
16264,14,1960,0.72208559,9999.95,399.999000005
9408,7,1920,0.28709609,9999.9500005,399.99900001500004
8910,3,2000,0.5802469100000001,9999.9,399.99800001
57823,9,1980,0.84369542,9999.9500005,399.99900001500004
47222,16,1960,0.54972259,9999.900001,399.99800002
33270,13,1960,1,9999.9500005,399.99900001500004
53318,7,1980,0.54934544,10000.0500005,400.001000015
30786,17,1920,0.94120704,10000,400.00000001
54546,19,1920,0.88446449,9999.95,399.99900001500004
10472,18,1960,1,10000,400.00000001
3989,7,1960,0.62797694,10000,400
43650,9,1960,0.49095074,10000,400.00000001
51250,16,1960,0.53400976,9999.9500005,399.99900001500004
45060,9,1960,0.63038171,9999.9500005,399.99900001500004
96403,14,1920,0.8973061,10000.000001,400.00000002
77638,32,1920,1,10000,400.00000001
55743,14,1920,0.43149813000000004,9999.95,399.99900001500004
43270,4,2001,0.54599029,9999.95,399.99900001500004
77940,19,1990,0.51988709,10000.0500005,400.001000015
43019,15,1920,0.7989493,10000.0500005,400.001000015
32099,11,1920,0.6603321,10000,400.00000001
19774,10,1960,0.5977546300000001,9999.9500005,399.99900001500004
41781,13,1960,0.46372753,9999.9500005,399.99900001500004
76720,6,1960,0.42335766,10000,400.00000001
124221,15,1980,0.34615725,10000,400.00000001
83347,24,1920,0.85758336,10000.0500005,400.001000015
87105,16,1920,1,9999.95,399.99900001500004
33595,5,1960,0.98684328,10000.0500005,400.001000015
40031,13,1960,0.9256826,10000.000001,400.00000002
16215,6,1960,1,10000,400
43191,7,1960,0.54085342,10000.0500005,400.001000015
47849,14,1920,0.72893895,10000,400.00000001
31758,8,2000,0.37958939,9999.9500005,399.99900001500004
61968,12,1920,0.60406984,9999.9500005,399.99900001500004
157690,15,1980,0.35385884,9999.9500005,399.99900001500004
46332,10,1920,0.82603816,9999.850001,399.997000015
132330,3,1990,0.80488174,10000.050000000001,400.001000015
70217,21,1920,0.78603472,9999.9500005,399.99900001500004
16021,11,1960,1,10000.0500005,400.001000015
19450,3,2001,1,10000.000001,400.00000002
8293,6,1960,1,9999.9500005,399.99900001500004
18112,4,2001,0.90106007,10000,400.00000001
52627,20,1920,0.60562069,10000.0500005,400.001000015
16905,5,1960,1,9999.9500005,399.99900001500004
18410,10,1960,0.7840847400000001,9999.95,399.999000005
139135,6,1980,0.6278794,9999.999999,400
159565,4,1960,1,9999.95,399.99900001500004
74220,3,1960,1,9999.95,399.99900001500004
94724,6,1960,0.68044002,9999.95,399.99900001500004
31174,11,1960,0.73859627,9999.900001,399.99800002
29149,5,2001,0.68269923,10000.0500005,400.001000015
26848,12,1960,0.45385131,9999.9500005,399.99900001500004
42205,8,1920,0.51143229,10000.0500005,400.001000015
44589,10,1960,0.6322635600000001,10000.0500005,400.001000015
50862,5,1960,1,9999.9500005,399.99900001500004
14970,3,1960,1,10000,400.00000001
28510,18,1960,0.7261662600000001,10000,400.00000001
7885,13,1960,0.74470514,10000,400.00000001
26231,13,1960,1,10000.000001,400.00000002
13891,10,1960,0.48772587,10000.0500015,400.001000035
14442,3,1990,0.72303005,9999.900001,399.99800002
114030,18,1920,0.8325616100000001,9999.95,399.99900001500004
51928,14,1920,0.55382453,10000,400.00000001
21342,22,1920,0.62060725,9999.9,399.99800001
13384,4,1960,0.5492379000000001,10000,400.00000001
21553,8,1960,1,10000,400.00000001
43766,4,1980,0.73595942,10000,400.00000001
37546,19,1960,1,9999.95,399.999000005
42156,6,2001,0.53719518,10000.0500015,400.001000035
6336,4,1960,1,10000.0500015,400.001000035
23811,7,1960,1,9999.9500015,399.999000035
6900,4,1980,0.6384058,10000.0500015,400.001000035
162200,4,1920,0.90332922,10000.1,400.002
125271,9,1920,0.6372664100000001,10000.1,400.002
80095,7,1980,0.52331606,10000.1,400.002
63790,5,1960,0.60542405,10000.1,400.002
108466,30,1920,0.76173179,10000.1,400.002
111789,33,1920,0.91761265,10000.1,400.002
165385,9,1960,0.43196179,10000.050000000001,400.001000005
162589,18,1980,0.6927898,10000.0500005,400.001000015
66346,21,1920,0.51207307,10000,400.00000001
73197,17,1920,0.47272429,9999.95,399.99900001500004
89379,19,1960,0.7666677900000001,9999.95,399.99900001500004
38343,14,1920,0.53540412,10000,400.00000001
31076,11,1960,0.75543828,9999.9500005,399.99900001500004
32337,11,1960,1,10000,400.00000001
25567,8,1960,0.81382251,10000,400.00000001
14543,3,1960,0.7160145800000001,9999.9500005,399.99900001500004
10898,6,1920,0.55624885,10000,400.00000001
9304,5,2001,0.52450559,9999.95,399.999000005
32934,3,1990,0.9781380900000001,9999.950001,399.999000035
18475,17,1960,0.75031123,10000.000002,400.00000005
18454,9,1980,0.60214588,10000.0500015,400.001000035
52258,9,1960,1,9999.900001,399.99800002
26346,4,1980,0.76770667,9999.9500015,399.999000035
144817,7,1920,0.67258678,10000.1,400.002
152327,11,1980,0.45785711,10000,400.00000002
32678,3,1920,1,10000.0500005,400.001000015
24790,3,1980,0.61436063,9999.900001,399.99800002
7901,6,1920,1,10000.0500005,400.001000015
18790,8,1920,1,10000.0500005,400.001000015
66875,24,1920,0.82594393,10000.0500005,400.001000015
15304,5,2001,0.66975954,9999.95,399.99900001500004
86444,7,1980,0.73212716,10000,400.00000001
285808,6,1990,0.55421822,9999.9500005,399.99900001500004
11495,8,1960,1,10000,400.00000002
18380,6,2001,0.60331882,10000.0500015,400.001000035
14894,10,1960,0.83046865,9999.9500015,399.999000035
46793,9,1920,1,10000.1,400.002
58251,8,1960,0.96360578,10000.0500005,400.001000015
57856,7,1980,0.86110343,10000.0500005,400.001000015
18911,7,1960,0.7782771900000001,10000,400.00000001
25908,7,2000,0.49633318,10000,400.00000001
46771,9,1980,0.50584764,10000.000001,400.00000002
20780,3,1980,0.41000962,9999.9500015,399.999000035
14518,5,2000,0.68880011,9999.850002,399.997000035
73021,23,1920,0.81245121,10000.050000000001,400.001000005
47253,10,1920,1,10000.1,400.002
17421,6,1920,0.81573962,10000,400
27637,9,1920,0.86322683,10000.0500005,400.001000015
34033,7,1960,0.66943849,10000,400.00000001
11680,8,1920,0.53159247,9999.900001,399.99800002
23662,11,2000,0.46411969000000003,10000.000001,400.00000002
79844,22,1920,0.93850508,10000.1,400.00200001
20872,21,1920,0.87145458,9999.95,399.99900001500004
33840,9,1960,0.67745272,10000,400.00000001
37045,7,2001,0.82156836,9999.9500015,399.999000035
35328,13,1920,1,10000.1,400.002
66425,11,2001,0.27224689,9999.95,399.99900001500004
34128,15,1990,0.45440694000000004,10000,400.00000001
10902,9,1960,1,10000,400.00000001
24290,3,1990,0.60930424,10000.000001,400.00000002
24070,3,2001,0.83921894,10000.1,400.00200001
8251,5,1960,1,9999.9500005,399.99900001500004
58356,7,1960,0.35934608,10000.100001,400.00200002
9152,3,1920,0.89160839,10000.1,400.002
35075,16,1920,0.92872416,10000.1,400.002
21507,13,1960,0.49528061,10000,400.00000001
19592,13,1920,0.52975704,10000,400.00000001
19941,10,1960,0.7252896,10000.1,400.00200001
31350,9,1960,0.61055821,10000.0500005,400.001000015
15489,6,1960,0.92310672,10000.000001,400.00000002
79180,3,1960,0.52481687,10000.050000000001,400.001000005
40069,9,1920,0.66358032,10000.1,400.002
