ART_TEXT,ART_CODE,SHAPE.LEN
Bezirksgrenze,10,1021.47008152791
Bezirksgrenze,10,78.58736070412338
Bezirksgrenze,10,3253.09263945483
Bezirksgrenze,10,5540.32324701563
Gemeindegrenze,1,3510.61456331914
Bezirksgrenze,10,1330.22553896093
Bezirksgrenze,10,4755.30632103738
Bezirksgrenze,10,8561.76344116262
Bezirksgrenze auf Seefläche,11,730.190633701625
Bezirksgrenze,10,3392.81376643904
Bezirksgrenze,10,2796.10970408462
Bezirksgrenze,10,2923.8809474652403
Bezirksgrenze,10,4316.4593900584805
Bezirksgrenze auf Seefläche,11,335.864833640671
