NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,36895.368964885,1168.517985343
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,3137.630407445,220.917809182131
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,5550.62700884,328.15784180846504
10,10 - Streueland,F,Fremdnässe,1,1 - Ackerbaugebiet,10F,1988-97,BoKa-ZH (Einzelfall),82565.85605215,1280.93839745377
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),15504.73655695,990.2444247052961
9,9 - Extensives Wies- und Weideland,L,Lage im Relief,4,4 - Futterbaugebiet,9L,1988-97,BoKa-ZH (Einzelfall),6883.11085915,549.766202478665
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,7858.46038236,724.6194711225751
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,8952.018922615,851.899886695346
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,3486.29674916,300.950406762445
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,22776.77992511,781.6097072096471
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,21522.76664382,764.0355154075701
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,10863.362158365,606.053959362464
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1850.4734853,849.910838138767
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,3708.62120482,260.19948938147104
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,3939.734605695,431.221290134524
