SVOZONEOID,T_ZONE,T_ZONTXT,T_KAT,T_KATTXT,T_LABEL,T_LABTXT,P_LABEL,P_LABTXT,P_SPEZ,P_HM_NAT,P_FM_NAT,P_PREC_C,P_PREC_T,T_SZIEL,T_SMASSN,OBJ_NR,OBJ_NAM,P_BFS,P_GEM,P_BEZIRK,E_OBJID,E_KURZTI,E_TITEL,E_DATUM,E_NR,E_TYP,E_VNAM,E_PUBL,E_URL,AREAM2,LENGTH,SHAPE.AREA,SHAPE.LEN
5789,IIIB,Landschaftsschutzzone IIIB,III,Landschaftsschutzzone,,,,,,,,AV,,Langfristige Erhaltung eines biologisch und landschaftlich wervollen Zustandes sowie als prägendes Landschaftselement,Alle Veränderungen in der Landschaft sind Bewilligungspflichtig.,,,248,Uitikon,Dietikon,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,11413,463.5,11413.01099964,463.471646300369
3970,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,3,Katzenseen,96,Regensdorf,Dielsdorf,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,5224.1,313.1,5224.129518135,313.06470603879103
3980,IVA,Waldschutzzone IVA,IV,Waldschutzzone,,,,,,,850,AV,,Langfristige Erhaltung standortgemässer Waldgesellschaften - schutzwürdiger Waldformen und -typen sowie stufig aufgebauter Waldränder,Wald im Sinne der Schutzziele gemäss Pflegeplan nutzen oder pflegen;ökologisch wertvolle Übergänge von Wald und Naturschutzzonen schaffen; isolierte waldfreie Naturschutzzonen verbinden,2,Hänsiried,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,593.4,115.3,593.359606375,115.34322368762301
3943,I,Naturschutzzone I,I,Naturschutzzone,,,,,,,,AV,,Erhaltung der schutzwürdigen Gebiete als Lebensraum seltener und gefährdeter Tier- und Pflanzenarten und -gemeinschaften,Beweidungsverbot;keine Düngung; keine Veränderungen des Wasserhaushaltes; Vorgaben zum Schnitttermin; Vorgaben zum Umgang mit bestehenden Gehölzen; Einschränkung des Begehens; Leinenzwang für Hunde.,2,Hänsiried,96,Regensdorf,Dielsdorf,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,5438,309.40000000000003,5437.95523955,309.440986760754
3937,I,Naturschutzzone I,I,Naturschutzzone,,,,,,,,AV,,Erhaltung der schutzwürdigen Gebiete als Lebensraum seltener und gefährdeter Tier- und Pflanzenarten und -gemeinschaften,Beweidungsverbot;keine Düngung; keine Veränderungen des Wasserhaushaltes; Vorgaben zum Schnitttermin; Vorgaben zum Umgang mit bestehenden Gehölzen; Einschränkung des Begehens; Leinenzwang für Hunde.,3,Katzenseen,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,929.3000000000001,167.20000000000002,929.258183225,167.166217123552
5291,IIA,Naturschutzumgebungszone IIA,II,Naturschutzumgebungszone,,,,,,,849,AV,,Sicherung der Naturschutzzone vor unerwünschten Einwirkungen,Beweidungsverbot;keine Düngung; keine Veränderungen des Wasserhaushaltes; Vorgaben zum Schnitttermin; Vorgaben zum Umgang mit bestehenden Gehölzen; Leinenzwang für Hunde.,3,Katzenseen,96,Regensdorf,Dielsdorf,219,Katzenseen (Änderung),Verordnung über den Schutz der Katzenseen (Änderung),20140312,14022,Einzelverfügung,,2014/65075,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Aenderung_2014.pdf,52988.9,1436.9,52988.87621551,1436.90395090773
2288,VIB,Erholungszone VIB,VI,Erholungszone,,,,,,99,,AV,,Diese Zone dient der Erholung - soweit diese mit dem Schutz des Gebietes vereinbar ist.,-,3,Katzenseen,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,6174.8,353.3,6174.827897095,353.311315030022
2282,IVL,Waldschutzzone IVL,IV,Waldschutzzone,,,,,,,,AV,,Biologisch und landschaftlich wertvolle Elemente erhalten - Rücksicht auf Landschaftsbild nehmen.,Erratische Blöcke und andere geomorphologische Objekte erhalten; Bäche nicht verbauen,102,Landschaftsschutzgebiet,261,Zürich,Zürich,138,Katzenseen,"Verordnung über den Schutz der Katzenseen Schutz von Natur- und Landschaftsschutzgebieten mit überkommunaler Bedeutung in Regensdorf, Rümlang und Zürich",20031216,3062,Schutzverordnung,,06.02.2004,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Katzensee_Regensdorf_Ruemlang_Zuerich.pdf,105403,2037.1000000000001,105402.99919965501,2037.10920573108
5853,IIIB,Landschaftsschutzzone IIIB,III,Landschaftsschutzzone,,,,,,,,,,Langfristige Erhaltung eines biologisch und landschaftlich wervollen Zustandes sowie als prägendes Landschaftselement,Alle Veränderungen in der Landschaft sind Bewilligungspflichtig.,,,261,Zürich,Zürich,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,68649.3,2055,68649.29900586,2055.02393317053
5878,IIIB,Landschaftsschutzzone IIIB,III,Landschaftsschutzzone,,,,,,,,,,Langfristige Erhaltung eines biologisch und landschaftlich wervollen Zustandes sowie als prägendes Landschaftselement,Alle Veränderungen in der Landschaft sind Bewilligungspflichtig.,ZH 9,"Albisgüetli, Magerwiese wechseltrocken",261,Zürich,Zürich,238,SVO Uetliberg,"Verordnung zum Schutz des Uetliberg-Albis, Teilgebiet Uetliberg Nord (Natur- und Landschaftsschutzgebiet mit überkommunaler Bedeutung in den Gemeinden Stallikon, Uitikon und der Stadt Zürich",20170117,17006,Schutzverordnung,,2017/182671,http://www.maps.zh.ch/system/docs/aln_fns/svo_zh/SVO_Uetliberg.pdf,69017.8,1726.1000000000001,69017.7943123,1726.0917465857901
