ACHSNUMMER,GESCHW,LAENGE,STARTDISTA,DAT_LOGO,SHAPE.LEN
589,60,833.1,0,26_01_2018,833.100022724386
589,60,833.1,0,26_01_2018,833.100022724386
347,50,2115.51,3516.58,26_01_2018,2115.5100489635
351,50,335.36,937.52,26_01_2018,335.35994470848004
356,80,525.94,2128.86,26_01_2018,525.939966668864
356,60,330.48,2654.8,26_01_2018,330.48003964007
351,80,507.28000000000003,1932.67,26_01_2018,507.279990732922
351,50,2311.19,2578.01,26_01_2018,2311.18664643274
351,60,310.49,627.03,26_01_2018,310.490020382129
17,80,168.58,14449.45,26_01_2018,168.579968762769
351,60,138.05,2439.9500000000003,26_01_2018,138.049992173517
351,60,659.79,1272.88,26_01_2018,659.790068746091
588,50,1895.74,0,26_01_2018,1895.74004863952
17,60,249.03,14200.42,26_01_2018,249.030095512689
704,50,4041.4100000000003,0,26_01_2018,4041.4100581619205
348,80,479.01,146.28,26_01_2018,479.01000290130105
614,80,1253.68,7731.52,26_01_2018,1253.6788127244802
356,60,836.0500000000001,1292.81,26_01_2018,836.0500576274021
4,50,1389.14,23744.9,26_01_2018,1389.1399383480302
594,80,649.82,0.24,26_01_2018,649.820042863244
356.1,60,598.3000000000001,0,26_01_2018,598.2982609925101
356,50,84.28,2985.28,26_01_2018,84.28986585062609
