LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SHAPE.LEN
43.89776823,4923,23,382,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,43.897770360932604
165.62044293,4818,30,30072,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,165.62050717828902
776.49835401,4919,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,776.4984213949291
87.44597277,4918,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,87.4459566699283
144.37914722,1201,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,144.37911724408
199.46585365,4850,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,199.46584073857701
13396.00189084,7439,950,90500,Limmattalbahn,Limmattalbahn,Stadtbahn geplant,,05_12_2017,13396.0018739421
73.81730978,4794,23,30013.2,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,73.8173422884356
420.61741301,688,10,10011,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,420.61747429773305
261.1437126,4819,23,30013.2,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,261.143693013511
386.47693351,1204,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,386.47688362545404
833.77085502,4614,23,300,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,833.770879454097
920.3101633,4613,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,920.310188114958
871.74693599,4826,23,295,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,871.746968597263
19.42625581,1422,12,16038,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,19.426294780706197
18.84512878,822,12,16037,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,18.8451554874732
201.39909461,1220,12,16006,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,201.39910647842402
119.7948849,5008,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,119.79490367670802
1224.35517762,4998,30,30095,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,1224.3551771149002
303.92787405,4977,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,303.927807256638
215.5491648,4979,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,215.549128485944
468.24023839,4874,23,30071.1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,468.24024015787904
311.60356044,4908,23,382,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,311.603617703096
61.09341137,4931,40,,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,61.0935215530485
264.86893447,4934,23,30071.1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,264.868912314874
394.00857956,4975,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,394.008519901668
361.04512641,4877,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,361.045098741083
539.31386954,4598,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,539.313891215753
597.29866816,499,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,597.2986920503831
2010.19073886,4592,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,2010.1907843640502
334.35210044,4623,23,17,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,334.35210921937
157.69910637,4705,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,157.69910939828003
196.49652553,4708,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,196.496551306756
68.28508685,828,12,16042,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,68.28512112369971
766.7899402,4702,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,766.789899058885
714.7167771,5329,23,4.1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,714.7167438711
606.43799263,695,10,10031,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,606.437972424258
151.07398645,7043,23,4.9,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,151.07399036615
114.24656942,402,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,114.24657447526002
996.83560233,5290,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,996.835619781068
754.59213406,5277,23,3,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,754.5921373762791
182.73606098,4988,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,182.73607418584803
186.13491174,4991,30,30095,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,186.134916894208
291.44383224,5019,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,291.443854549493
606.92452397,5020,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,606.924538011665
105.69563532,5022,30,30078,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,105.695640914695
863.2007513,5086,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,863.200688609273
