STRASSENNA,KM,ORIENTATIO,XCOORD,YCOORD,KMTEXT,JAHR,KT_RTE_KEY,E,N
90500,12.89999962,89.414157,2678849.34056,1249544.21952,--KM_12.9,05_12_2017,90500,2678849.341,1249544.22
1,8.30000019,72.40723824,2678951.70703,1249897.04996,--KM_8.3,05_12_2017,1,2678951.707,1249897.05
1,8.39999962,70.28547169,2679046.60915,1249865.61328,--KM_8.4,05_12_2017,1,2679046.609,1249865.613
1.1,1.5,68.4237997,2678932.53731,1249950.6388,--KM_1.5,05_12_2017,1.1,2678932.537,1249950.639
A1+,295.20001221,300.25654817,2678920.8396,1253162.06385,--KM_295.2,05_12_2017,10010,2678920.84,1253162.064
614,8.60000038,70.46335471,2679017.4502,1253145.83758,--KM_8.6,05_12_2017,614,2679017.45,1253145.838
17,14.5,50.21088348,2678887.61296,1253922.5369,--KM_14.5,05_12_2017,17,2678887.613,1253922.537
30023,0.1,69.38381204,2679339.57744,1248433.14999,--KM_0.1,05_12_2017,30023,2679339.578,1248433.15
30023,0.2,64.43976232,2679431.35699,1248393.5821,--KM_0.2,05_12_2017,30023,2679431.357,1248393.582
30069,0.5,344.99863151,2679125.8394,1249048.29453,--KM_0.5,05_12_2017,30069,2679125.839,1249048.295
90500,13.30000019,69.08230723,2679234.58603,1249444.11596,--KM_13.3,05_12_2017,90500,2679234.586,1249444.116
A1H+,6.9000001,70.73714375,2679103.13984,1249858.46305,--KM_6.9,05_12_2017,10011,2679103.14,1249858.463
A1H+,7.19999981,71.75388713,2679221.74367,1249818.89984,--KM_7.2,05_12_2017,10011,2679221.744,1249818.9
30013.2,0.40000001,77.95728775,2679370.09966,1249751.21521,--KM_0.4,05_12_2017,30013.2,2679370.1,1249751.215
30013.2,0.2,69.87303257,2679377.42324,1249639.67629,--KM_0.2,05_12_2017,30013.2,2679377.423,1249639.676
1,8.80000019,74.99095075,2679428.29851,1249746.38563,--KM_8.8,05_12_2017,1,2679428.299,1249746.386
614,8.98519993,80.44922669,2679386.9007,1253040.3286,--KM_8.985,05_12_2017,614,2679386.901,1253040.329
A1 A BE-AF,0.30000001,275.51120199,2679359.12108,1253308.34462,--KM_0.3,05_12_2017,16000,2679359.121,1253308.345
30023.3,0.1,345.94079435,2679510.16191,1249269.969,--KM_0.1,05_12_2017,30023.3,2679510.162,1249269.969
30071,1.10000002,67.27218701,2679610.27647,1249288.93029,--KM_1.1,05_12_2017,30071,2679610.277,1249288.93
30071,1.2999999500000001,67.05156565,2679794.68571,1249211.51438,--KM_1.3,05_12_2017,30071,2679794.686,1249211.514
A1H A BE-PFI,0.1,80.23541566,2679570.4034,1249723.56676,--KM_0.1,05_12_2017,16118,2679570.403,1249723.567
1,9,346.56590929,2679576.25415,1249652.15915,--KM_9.0,05_12_2017,1,2679576.254,1249652.159
A1H-,7.0999999,83.55225985,2679577.3411,1249745.2406,--,05_12_2017,10111,2679577.341,1249745.241
