KT_RTE_KEY,MINKM,MAXKM,JAHR,STRASSENNAME,MEASURELENGTH,SHAPE.LEN
351,0,4.889200000000001,05_12_2017,351,4.889200000000001,4889.20029444764
614,0,8.9852,05_12_2017,614,8.9852,8985.19906188168
16000,0,0.5532,05_12_2017,A1 A BE-AF,0.5532,553.230895513185
30023,0,2.2046,05_12_2017,30023,2.2046,2204.62622267188
30024,0,0.4607,05_12_2017,30024,0.4607,460.66517432100005
30013.100000000002,0,0.37470000000000003,05_12_2017,30013.1,0.37470000000000003,374.730327779861
30045,0,0.5482,05_12_2017,30045,0.5482,548.162616598948
30047,0,1.6394,05_12_2017,30047,1.6394,1639.3626424149302
30047.100000000002,0,0.8923000000000001,05_12_2017,30047.1,0.8923000000000001,892.3332390038651
30048.100000000002,0,0.2333,05_12_2017,30048.1,0.2333,233.269713935712
30049,0,4.1612,05_12_2017,30049,4.1612,4161.202293525121
30039.100000000002,0,0.2175,05_12_2017,30039.1,0.2175,217.493919705931
30050.2,0,0.48550000000000004,05_12_2017,30050.2,0.48550000000000004,485.492365546642
30052.100000000002,0,0.1187,05_12_2017,30052.1,0.1187,118.65270400228302
30061,0,0.7833,05_12_2017,30061,0.7833,783.310943832922
30065,0,0.6674,05_12_2017,30065,0.6674,667.35839360775
30012.5,0,0.3095,05_12_2017,30012.5,0.3095,309.53887030552704
30012.7,0,0.0247,05_12_2017,30012.7,0.0247,24.748885272193398
30013,0,0.2217,05_12_2017,30013,0.2217,221.673590985385
16061,0,0.4582,05_12_2017,A1 E SE-BE,0.4582,458.229635377966
16077,0,0.5578000000000001,05_12_2017,A1 Ra BE/SH-ZH 64.1,0.5578000000000001,557.791888269734
16132,0,0.3335,05_12_2017,A1L A SG-UN,0.3335,333.51292679192
16516,0,0.1585,05_12_2017,A51 SG-SH,0.1585,158.469416389282
50000,0,5.671200000000001,05_12_2017,50000,5.671200000000001,5671.21150461529
30090.100000000002,0,0.36310000000000003,05_12_2017,30090.1,0.36310000000000003,363.125327118397
30091,0,0.6894,05_12_2017,30091,0.6894,689.4372506315921
30100,0,0.16720000000000002,05_12_2017,30100,0.16720000000000002,167.209387605144
4.1,0,1.1814,05_12_2017,4.1,1.1814,1181.37120429793
10121,1.0030000000000001,4.2,05_12_2017,A1L-,3.197,3139.79103860863
16143,0,0.5652,05_12_2017,A1L Ra ZH-BE 64.3,0.5652,565.167021749569
588,0,5.1159,05_12_2017,588,5.1159,5115.92161758204
589,0,0.8332,05_12_2017,589,0.8332,833.1901073203841
30022.2,0,0.2291,05_12_2017,30022.2,0.2291,229.112682645509
30023.2,0,1.3816000000000002,05_12_2017,30023.2,1.3816000000000002,1381.58030240226
30034,0,1.4364000000000001,05_12_2017,30034,1.4364000000000001,1436.40860323689
30055,0,0.077,05_12_2017,30055,0.077,77.01437409036059
30063,0,1.8045,05_12_2017,30063,1.8045,1804.48275733771
30011.2,0,0.2082,05_12_2017,30011.2,0.2082,208.19540872735502
30012,0,0.9317000000000001,05_12_2017,30012,0.9317000000000001,931.6622789373511
16075,0,0.9852000000000001,05_12_2017,A1 Ra BE-SH 63.1,0.9852000000000001,985.152017715166
16118,0,0.2484,05_12_2017,A1H A BE-PFI,0.2484,248.420541618709
90500,0,13.396,05_12_2017,90500,13.396,13396.0018739421
30071,0,2.366,05_12_2017,30071,2.366,2365.95801497824
30078,0,0.9739000000000001,05_12_2017,30078,0.9739000000000001,973.933367922894
30072,0,0.3219,05_12_2017,30072,0.3219,321.90953728363303
