TYP,EIGENTUEMER,SPANNUNG_IN_KV,SPANNUNG_OUT_KV,BEZEICHNUNG,BEMERKUNGEN,ESTI_NUMMERN,GEKO_NUMMER,ARCHIV_NUMMERN,BESCHLUSS_NUMMER,WEBLINK,STAND,ENERGIE_MWH,LEISTUNG_MW,E,N
2,2,3,,Limmatkraftwerk Letten,Konzessionsanteil 100%,Stadt Zürich,,,,,1,21000,4,2682597.532,1249030.141
2,2,3,,Limmatkraftwerk Höngg,Konzessionsanteil 100%,Stadt Zürich,,,,,1,8000,1,2679606.685,1250341.662
1,2,3,,UW Drahtzug,Zürich,,,,,,1,,,2684932.939,1246044.232
1,2,3,,UW Glattpark,Zürich. 2. Eigentümer SBB,,,,,,1,,,2684206.262,1252992.53
1,2,3,,UW Opfikon,,,,,,,1,,,2685408.009,1253156.53
1,2,4,,UW Auwiesen,Zürich,S-056080,AWEL 15-0006,,,,1,,,2685501.168,1251932.006
1,2,3,,UW Hönggerberg,Zürich. Umstellung von 11 auf 22 kV,S-63140 (Erneuerung),16-0098,,,,1,,,2680395.467,1251847.904
1,2,3,,UW Altstetten,Zürich,neu oder alt?,,,,,1,,,2679360.278,1248513.784
1,2,3,,UW Herdern,Zürich,,,,,,1,,,2681056.44,1249262.69
1,2,3,,UW Sihlfeld,Zürich,,,,,,1,,,2681042.551,1247859.554
1,2,3,,UW Binz,Zürich,,,,,,1,,,2681459.721,1246322.988
1,2,3,,UW Katz,Zürich,nicht Selnau?,,,,,1,,,2682610.741,1247513.175
1,2,3,,UW Sempersteig,Zürich,,,,,,1,,,2683743.823,1247634.837
1,2,3,,UW Irchel,Zürich,,,,,,1,,,2683422.408,1250346.004
1,2,3,,UW Aubrugg,Zürich,,,,,,1,,,2685482.616,1251843.641
1,2,3,,UW Oerlikon,Zürich,,,,,,1,,,2682695.613,1252009.678
1,2,3,,UW Zeughaus,Zürich,,,,,,1,,,2682433.28,1247936.744
1,2,3,,UW Letten,Zürich,Letten neu oder alt? Aktueller Standort?,,,,,1,,,2682558.79,1249101.555
1,3,4,,UW SBB Zürich,,,,,,,1,,,2681819.34,1248433.376
