GEODB_OID,TYP,EIGENTUEMER_1,SPANNUNG_KV_1,EIGENTUEMER_2,SPANNUNG_KV_2,EIGENTUEMER_3,SPANNUNG_KV_3,SPANNUNG_BEZEICHNUNG,STAND,BEMERKUNGEN,ESTI_NUMMERN,GEKO_NUMMER,ARCHIV_NUMMERN,BESCHLUSS_NUMMER,SUEL_NUMMER,WEBLINK,FID_1,TRASSENAME,BUFFER,SHAPE.LEN
,2,2,3,,,,,2,2,,,,3.7,,,,,,22,2932.70812334347
,2,2,3,,,,,2,1,,,,,,,,,,22,6.81345910679737
,2,1,5,,,,,2,1,,,,,,,,,,10,1050.1038107168501
,2,2,3,,,,,2,1,"Teilweise verfügt, teilweise im PGV",L-206197,"AWEL-14-0081, AWEL 15-0010, BUND 16-0091",,,,,,UW Hönggerberg - UW Herdern (11 G),22,3941.07154791395
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,263.151245758786
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1461.8502857754702
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,663.772391424461
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1544.2945440189599
,1,4,2,4,2,,,1,1,,,,,,,,,M86 Niederwil - Regensdorf - Opfikon,68,28403.6661983775
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,6535.201823787371
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,2199.79905186241
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1342.62987373869
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1647.15725501026
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1260.96197083814
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1007.04303927985
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1623.4649477340802
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,644.2443378710681
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,2116.5550913505303
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,165.135244466468
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1016.6977263803201
,1,4,2,2,3,,,1,1,,,,3.4,,,,,,68,5781.38054361402
,2,2,3,,,,,2,1,,,,,,,,,,22,4.37698811970058
,1,3,4,,,,,2,1,,,,,,,,,,44,19754.676855460802
,1,3,4,,,,,2,1,Daten SBB,,,,,,,,,44,2718.92812783689
,2,3,4,,,,,2,1,Daten SBB,,,,,,,,,22,1258.68730617824
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1179.69626644871
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,973.4716043131591
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1403.04013633021
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1171.68811890213
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,612.817040727616
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,2830.77525840965
,1,3,4,3,4,,,2,1,,,,,,,,,UW Altstadt - UW Glattpark,44,24607.0500184347
,1,3,4,,,,,2,1,Daten SBB,,,,,,,,,44,1641.54293479749
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1794.69026792559
,2,2,3,,,,,2,1,Ersatz der Leitung UW Oerlikon - UW Auwiesen. Verfügt.,L-130102,AWEL 14-0078,3.7,,,,,,22,4815.61552282735
,2,2,3,,,,,2,1,Leitungsersatz UW Letten - UW Oerlikon,L-176234,Bund 15-0055,3.7,,,,,,22,1264.5212449694102
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1471.98265767427
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,225.824950300006
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,1235.8927905990702
,2,2,3,,,,,2,1,,,,3.7,,,,,,22,488.74469327871304
,1,1,5,,,,,2,1,,,,,,,,,,42,9228.743578405121
,1,2,3,,,,,2,1,,,,3.7,,,,,,50,4563.572754407311
