Datum; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Heubeeribüel; Zürich Heubeeribüel
; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Heubeeribüel; Zch_Heubeeribüel
; Ozon; Stickstoffdioxid; Feinstaub PM10; Lufttemperatur; Luftdruck; Windrichtung; Windgeschwindigkeit vektoriell; Ozon; Stickstoffdioxid; Feinstaub PM10; Ozon; Stickstoffdioxid; Feinstaub PM10; Ozon; Stickstoffdioxid
; O3; NO2; PM10; T; p; WD; WVv; O3; NO2; PM10; O3; NO2; PM10; O3; NO2
; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1; h1
; µg/m3; µg/m3; µg/m3; °C; hPa; °; m/s; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3; µg/m3
06.03.2018 15:00; 59.36; 23.42; 30.17; 9.41; 941.93; 248.08; 3.84; 49.81; 37.29; 24.11; 35.46; 54.82; 23.82; 63.86; 21.71
06.03.2018 16:00; 62.36; 22.29; 23.20; 8.66; 942.19; 252.21; 3.60; 47.62; 43.85; 21.33; 44.39; 48.86; 15.26; 63.45; 21.98
06.03.2018 17:00; 69.40; 23.00; 12.73; 8.03; 942.77; 250.76; 3.04; 61.61; 36.96; 9.06; 43.44; 55.00; 10.13; 77.39; 17.68
06.03.2018 18:00; 72.71; 23.36; 11.40; 7.26; 943.44; 241.67; 2.61; 61.22; 39.71; 9.32; 38.24; 71.00; 9.16; 78.53; 16.61
06.03.2018 19:00; 65.86; 20.89; 7.27; 6.84; 943.96; 248.58; 2.69; 55.69; 34.95; 9.38; 45.00; 49.83; 6.88; 66.60; 19.51
06.03.2018 20:00; 57.45; 23.24; 7.92; 6.75; 944.15; 243.22; 1.86; 57.10; 25.51; 8.60; 33.47; 53.48; 7.08; 62.50; 18.39
06.03.2018 21:00; 54.74; 21.20; 10.08; 6.66; 944.46; 239.78; 1.94; 48.73; 29.94; 11.10; 33.22; 46.55; 8.88; 58.50; 17.69
06.03.2018 22:00; 51.22; 20.60; 11.10; 6.44; 944.63; 222.49; 1.39; 45.70; 29.85; 11.64; 32.39; 42.93; 10.25; 54.00; 17.65
06.03.2018 23:00; 50.38; 20.28; 9.97; 6.49; 944.95; 212.16; 1.52; 46.83; 26.21; 9.57; 41.67; 28.75; 9.72; 53.84; 14.79
07.03.2018 00:00; 53.84; 16.20; 7.54; 6.36; 945.21; 187.74; 2.03; 45.43; 26.69; 10.44; 36.97; 34.58; 6.92; 56.80; 12.32
07.03.2018 01:00; 44.39; 22.24; 11.36; 5.68; 945.25; 186.01; 2.04; 47.55; 20.83; 12.29; 38.79; 26.15; 9.26; 48.75; 16.61
07.03.2018 02:00; 41.81; 21.30; 13.76; 5.25; 945.46; 178.49; 1.36; 42.82; 23.09; 13.62; 33.19; 31.48; 11.81; 41.21; 19.60
07.03.2018 03:00; 47.63; 17.35; 12.65; 5.48; 945.37; 170.44; 0.57; 41.83; 22.09; 14.01; 35.93; 26.61; 10.76; 50.63; 15.03
07.03.2018 04:00; 47.36; 17.49; 12.69; 5.60; 945.69; 180.91; 1.08; 48.37; 21.03; 12.85; 26.46; 39.71; 11.46; 54.44; 13.34
07.03.2018 05:00; 56.83; 15.68; 12.14; 5.84; 946.30; 243.22; 2.69; 60.26; 12.60; 11.82; 33.01; 38.19; 11.11; 62.18; 11.49
07.03.2018 06:00; 49.77; 20.30; 11.60; 4.78; 947.03; 261.11; 2.40; 41.47; 33.31; 13.10; 33.58; 43.34; 12.26; 51.57; 17.17
07.03.2018 07:00; 44.59; 33.22; 7.61; 4.65; 947.52; 257.64; 1.38; 45.63; 34.28; 7.83; 15.86; 75.19; 7.47; 49.82; 24.90
07.03.2018 08:00; 47.55; 31.07; 10.14; 5.31; 948.25; 251.47; 2.32; 54.82; 25.36; 8.43; 22.64; 65.55; 20.56; 57.58; 20.39
07.03.2018 09:00; 49.67; 31.29; 10.18; 5.87; 948.74; 239.05; 2.20; 54.04; 24.97; 9.51; 27.56; 59.50; 9.43; 57.06; 19.12
07.03.2018 10:00; 57.00; 24.93; 10.05; 6.32; 949.28; 239.67; 3.23; 55.46; 28.65; 10.39; 30.41; 59.14; 18.34; 64.73; 15.56
07.03.2018 11:00; 56.66; 29.77; 14.91; 7.02; 949.69; 242.04; 3.01; 55.02; 32.75; 13.57; 36.41; 58.65; 24.87; 68.42; 14.58
07.03.2018 12:00; 70.82; 15.17; 12.55; 7.90; 949.86; 245.48; 3.55; 66.18; 21.33; 11.25; 47.33; 48.16; 17.36; 72.91; 12.12
07.03.2018 13:00; 74.25; 16.36; 12.60; 8.65; 949.83; 249.23; 4.41; 65.95; 27.77; 8.48; 54.96; 41.05; 10.09; NaN; 11.34
07.03.2018 14:00; 71.31; 21.47; 16.43; 8.33; 949.95; 252.15; 4.12; 63.00; 31.18; 8.66; NaN; 40.21; 11.85; 69.54; 19.03
07.03.2018 15:00; 65.82; 30.85; 6.56; 7.46; 950.38; 236.91; 3.37; 70.22; 26.06; 5.59; 41.93; 62.08; 13.63; 76.45; 13.19
07.03.2018 16:00; 72.50; 20.52; 5.60; 7.88; 950.51; 246.57; 3.78; 55.49; 47.57; 7.72; 43.89; 60.88; 13.31; 74.99; 15.44
07.03.2018 17:00; 69.42; 23.95; 8.87; 7.63; 951.36; 255.58; 3.60; 64.64; 33.42; 8.07; 46.09; 52.68; 15.31; 73.94; 15.77
07.03.2018 18:00; 67.50; 33.04; 4.24; 4.81; 952.37; 263.53; 0.23; 72.06; 29.17; 4.07; 45.76; 62.02; 3.32; 80.00; 15.25
07.03.2018 19:00; 50.14; 45.29; 4.44; 5.19; 953.15; 315.75; 0.78; 38.42; 69.36; 6.56; 38.16; 57.49; 3.06; 68.95; 20.18
07.03.2018 20:00; 58.80; 30.82; 4.75; 4.72; 954.06; 225.61; 1.09; 53.05; 40.65; 6.67; 38.31; 56.11; 5.07; 63.33; 21.30
07.03.2018 21:00; 76.72; 13.51; 3.25; 4.93; 954.69; 240.61; 3.38; 76.02; 15.30; 4.23; 56.10; 38.09; 3.04; 77.83; 10.55
07.03.2018 22:00; 72.40; 14.01; 3.38; 5.15; 955.41; 235.42; 2.90; 73.30; 14.71; 4.09; 55.73; 34.02; 1.95; 75.01; 10.02
07.03.2018 23:00; 72.67; 11.67; 3.97; 4.85; 955.87; 240.36; 2.63; 72.58; 12.70; 5.16; 61.86; 21.00; 2.90; 73.12; 9.32
08.03.2018 00:00; 75.26; 10.50; 3.83; 4.88; 956.50; 238.55; 2.79; 76.54; 10.62; 4.48; 60.66; 24.48; 2.37; 78.10; 7.27
08.03.2018 01:00; 74.23; 9.53; 3.60; 4.23; 957.19; 245.25; 2.55; 74.43; 10.17; 4.07; 65.95; 14.77; 3.08; 75.05; 7.73
08.03.2018 02:00; 76.93; 7.69; 3.41; 4.35; 957.47; 244.71; 3.24; 76.13; 8.39; 3.89; 68.37; 11.25; 1.91; 76.97; 6.95
08.03.2018 03:00; 77.84; 7.98; 2.93; 4.20; 957.71; 250.16; 2.18; 78.68; 6.84; 3.30; 59.59; 19.66; 1.87; 76.62; 7.44
08.03.2018 04:00; 76.97; 9.55; 2.82; 4.09; 957.94; 241.10; 0.79; 77.12; 9.66; 3.42; 50.39; 32.21; 1.88; 75.83; 7.88
08.03.2018 05:00; 65.82; 20.74; 3.36; 3.72; 957.84; 31.52; 0.43; 60.63; 32.42; 4.46; 40.23; 47.90; 2.48; 76.39; 9.09
08.03.2018 06:00; 59.47; 29.50; 3.48; 3.88; 957.98; 173.27; 2.03; 45.35; 48.28; 4.71; 27.02; 77.42; 4.25; 67.05; 15.40
08.03.2018 07:00; 38.72; 60.41; 4.97; 3.54; 958.19; 165.35; 2.75; 41.77; 47.93; 5.65; 34.10; 77.02; 4.35; 57.42; 24.43
08.03.2018 08:00; 34.76; 67.32; 6.52; 3.69; 958.33; 175.29; 2.84; 49.55; 45.46; 5.88; 41.87; 62.39; 5.32; 57.34; 25.84
08.03.2018 09:00; 42.19; 60.13; 7.04; 4.84; 958.30; 170.49; 2.53; 52.11; 40.08; 6.10; 41.67; 63.47; 6.71; 60.63; NaN
08.03.2018 10:00; 42.44; 63.63; 12.49; 6.52; 958.13; 174.13; 2.34; 48.67; 43.69; 9.98; 33.71; 78.60; 11.40; NaN; NaN
08.03.2018 11:00; 47.10; 58.46; 27.42; 7.74; 957.83; 169.99; 1.96; 57.17; 36.70; 12.41; 47.48; 57.32; 10.20; 77.35; 9.38
08.03.2018 12:00; 71.02; 24.69; 18.26; 8.60; 957.42; 176.63; 1.98; 62.60; 33.14; 8.90; 49.85; 55.21; 8.62; 81.54; 7.54
08.03.2018 13:00; 62.88; 41.33; 18.96; 9.41; 956.72; 173.83; 1.49; 61.78; 39.80; 8.06; 53.17; 54.07; 7.49; 84.13; 6.97
08.03.2018 14:00; 73.51; 22.43; 14.08; 10.27; 956.12; 171.34; 2.64; 62.90; 37.84; 8.21; NaN; NaN; 9.14; 82.83; 8.77
08.03.2018 15:00; 59.07; 72.56; 16.47; 10.97; 955.62; 205.88; 2.66; 66.97; 35.50; 8.95; 48.20; 66.25; 9.08; 84.49; 8.71
08.03.2018 16:00; 38.11; 92.59; 21.42; 10.50; 955.23; 198.94; 2.46; 61.15; 40.88; 7.72; 40.84; 76.94; 9.82; 77.89; 12.84
08.03.2018 17:00; 43.04; 61.22; 18.68; 10.01; 955.31; 181.74; 2.25; 49.12; 52.15; 8.67; 35.34; 81.17; 8.78; 66.04; 25.37
08.03.2018 18:00; 30.33; 69.72; 20.47; 9.65; 955.72; 174.91; 2.08; 43.05; 55.31; 9.23; 26.03; 89.11; 9.58; 56.91; 32.61
08.03.2018 19:00; 26.81; 66.77; 27.48; 8.75; 956.38; 169.09; 3.09; 29.00; 65.36; 11.53; 23.82; 76.67; 11.30; 39.51; 45.68
08.03.2018 20:00; 29.00; 60.09; 16.78; 8.11; 956.99; 188.11; 2.83; 40.75; 49.08; 12.28; 21.43; 81.44; 11.34; 60.40; 24.16
08.03.2018 21:00; 60.58; 31.79; 12.89; 9.39; 957.47; 208.43; 3.49; 64.05; 26.89; 10.39; 48.39; 48.10; 10.33; 70.73; 14.87
08.03.2018 22:00; 68.50; 19.79; 11.33; 9.78; 958.03; 223.61; 3.53; 64.92; 24.96; 8.49; 53.19; 40.89; 7.82; 75.60; 9.34
08.03.2018 23:00; 74.40; 13.81; 12.39; 9.74; 958.53; 232.08; 4.14; 68.57; 21.61; 9.67; 58.92; 30.32; 6.98; 79.37; 7.54
09.03.2018 00:00; 79.77; 10.53; 10.81; 9.70; 958.86; 230.48; 4.24; 71.55; 19.81; 9.60; 62.54; 27.56; 6.69; 83.03; 6.13
09.03.2018 01:00; 80.96; 9.74; 8.60; 9.45; 958.98; 236.65; 4.19; 71.20; 18.71; 9.36; 69.60; 20.00; 7.25; 82.48; 5.73
09.03.2018 02:00; 79.59; 9.84; 8.73; 9.02; 959.04; 231.54; 3.73; 72.17; 15.94; 8.28; 72.58; 16.66; 6.70; 80.31; 6.07
09.03.2018 03:00; 78.83; 10.31; 8.20; 8.62; 959.18; 223.22; 3.06; 74.05; 14.69; 7.58; 70.29; 22.02; 6.80; 77.30; 6.97
09.03.2018 04:00; 70.40; 14.99; 7.83; 7.81; 959.62; 197.99; 3.17; 67.67; 18.54; 7.83; 52.45; 41.34; 7.94; 74.23; 8.02
09.03.2018 05:00; 62.03; 19.30; 7.50; 6.84; 959.74; 174.66; 3.57; 59.21; 24.96; 7.17; 45.14; 49.67; 8.87; 70.60; 9.87
09.03.2018 06:00; 53.71; 27.17; 7.93; 5.91; 959.84; 166.37; 4.31; 44.63; 41.55; 7.99; 28.01; 82.90; 10.19; 64.60; 15.31
09.03.2018 07:00; 42.87; 43.63; 13.32; 5.92; 960.04; 156.24; 4.94; 21.21; 72.20; 14.44; 28.78; 84.62; 9.81; 61.94; 20.94
09.03.2018 08:00; 36.27; 53.13; 21.10; 6.67; 960.31; 152.03; 4.28; 46.35; 47.40; 13.78; 28.57; 82.42; 16.47; 60.32; 24.92
