Datum; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Heubeeribüel; Zürich Heubeeribüel
; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Heubeeribüel; Zch_Heubeeribüel
; Ozon, höchstes Stundenmittel; Stickstoffdioxid; Feinstaub PM10; Lufttemperatur; Luftdruck; Kurzzeit-Belastungsindex; KBI Teilindex Ozon; KBI Teilindex Stickstoffdioxid; KBI Teilindex Feinstaub; Ozon, höchstes Stundenmittel; Stickstoffdioxid; Feinstaub PM10; Kurzzeit-Belastungsindex; KBI Teilindex Ozon; KBI Teilindex Stickstoffdioxid; KBI Teilindex Feinstaub; Ozon, höchstes Stundenmittel; Stickstoffdioxid; Feinstaub PM10; Kurzzeit-Belastungsindex; KBI Teilindex Ozon; KBI Teilindex Stickstoffdioxid; KBI Teilindex Feinstaub; Ozon, höchstes Stundenmittel; Stickstoffdioxid
; O3_max_h1; NO2; PM10; T; p; KBI; KBI_O3; KBI_NO2; KBI_PM10; O3_max_h1; NO2; PM10; KBI; KBI_O3; KBI_NO2; KBI_PM10; O3_max_h1; NO2; PM10; KBI; KBI_O3; KBI_NO2; KBI_PM10; O3_max_h1; NO2
; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1
; µg/m3; µg/m3; µg/m3; °C; hPa; _nd; _nd; _nd; _nd; µg/m3; µg/m3; µg/m3; _nd; _nd; _nd; _nd; µg/m3; µg/m3; µg/m3; _nd; _nd; _nd; _nd; µg/m3; µg/m3
11.02.2018; 61.84; 20.82; 12.56; 2.43; 959.96; 1.00; 1.00; 1.00; 1.00; 61.48; 29.19; 12.99; 1.00; 1.00; 1.00; 1.00; 46.43; 39.33; 9.88; 1.00; 1.00; 1.00; 1.00; 65.36; 15.67
12.02.2018; 69.46; 32.79; 7.49; 1.62; 964.27; 1.00; 1.00; 1.00; 1.00; 60.46; 43.33; 7.83; 1.00; 1.00; 1.00; 1.00; 52.21; 51.15; 9.47; 1.00; 1.00; 1.00; 1.00; 73.30; 16.92
13.02.2018; 60.13; 48.39; 15.07; -0.14; 963.03; 1.00; 1.00; 1.00; 1.00; 51.58; 54.82; 17.77; 1.00; 1.00; 1.00; 1.00; 58.98; 51.15; 13.45; 1.00; 1.00; 1.00; 1.00; 71.50; 15.62
14.02.2018; 38.77; 65.94; 21.62; -0.23; 964.34; 2.00; 1.00; 2.00; 1.00; 36.20; 71.40; 24.68; 2.00; 1.00; 2.00; 1.00; 41.66; 67.68; 21.28; 2.00; 1.00; 2.00; 1.00; 68.94; 27.74
15.02.2018; 45.94; 63.29; 20.65; 1.07; 967.29; 2.00; 1.00; 2.00; 1.00; 47.05; 59.49; 18.83; 1.00; 1.00; 1.00; 1.00; 29.72; 78.88; 20.37; 2.00; 1.00; 2.00; 1.00; 60.77; 33.05
16.02.2018; 57.53; 48.42; 10.48; 5.75; 972.52; 1.00; 1.00; 1.00; 1.00; 47.90; 54.94; 11.55; 1.00; 1.00; 1.00; 1.00; 58.74; 52.59; 9.30; 1.00; 1.00; 1.00; 1.00; 78.86; 14.58
17.02.2018; 37.35; 31.26; 13.63; 3.72; 967.42; 1.00; 1.00; 1.00; 1.00; 33.18; 41.64; 14.37; 1.00; 1.00; 1.00; 1.00; 30.78; 40.75; 10.36; 1.00; 1.00; 1.00; 1.00; 45.18; 19.48
18.02.2018; 50.93; 27.01; 20.20; 1.40; 972.31; 1.00; 1.00; 1.00; 1.00; 43.71; 33.20; 20.44; 1.00; 1.00; 1.00; 1.00; 46.23; 33.34; 15.52; 1.00; 1.00; 1.00; 1.00; 54.68; 15.71
