"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEInkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,10,"Kreis 1",0,"Grundtarif",37.6,17,64.7
1999,10,"Kreis 1",1,"Verheiratetentarif",83.4,52,130.2
1999,10,"Kreis 1",2,"Einelternfamilientarif",46.6,25.7,87
1999,20,"Kreis 2",0,"Grundtarif",37.8,19.8,58.1
1999,20,"Kreis 2",1,"Verheiratetentarif",69.7,49,101.4
1999,20,"Kreis 2",2,"Einelternfamilientarif",39.15,21.75,58.9
1999,30,"Kreis 3",0,"Grundtarif",32.8,17.5,50
1999,30,"Kreis 3",1,"Verheiratetentarif",58.9,40.3,80
1999,30,"Kreis 3",2,"Einelternfamilientarif",32.95,17.9,45.75
1999,40,"Kreis 4",0,"Grundtarif",29,14.7,46.1
1999,40,"Kreis 4",1,"Verheiratetentarif",51.6,34.8,70.8
1999,40,"Kreis 4",2,"Einelternfamilientarif",30.1,14.3,44.8
1999,50,"Kreis 5",0,"Grundtarif",32.8,16.3,50
1999,50,"Kreis 5",1,"Verheiratetentarif",54,37,74
1999,50,"Kreis 5",2,"Einelternfamilientarif",30.35,16.8,47
1999,60,"Kreis 6",0,"Grundtarif",38,19.3,59.4
1999,60,"Kreis 6",1,"Verheiratetentarif",69.9,48.4,104.1
1999,60,"Kreis 6",2,"Einelternfamilientarif",37.1,21.6,58.85
1999,70,"Kreis 7",0,"Grundtarif",41.6,18.1,66.1
1999,70,"Kreis 7",1,"Verheiratetentarif",90.6,58.3,149.2
1999,70,"Kreis 7",2,"Einelternfamilientarif",45.6,25.9,72.8
1999,80,"Kreis 8",0,"Grundtarif",40.7,20,62.6
1999,80,"Kreis 8",1,"Verheiratetentarif",77.1,50.7,120
1999,80,"Kreis 8",2,"Einelternfamilientarif",40.9,23.5,60
1999,90,"Kreis 9",0,"Grundtarif",33.9,18.9,50
1999,90,"Kreis 9",1,"Verheiratetentarif",59.1,44,80.4
1999,90,"Kreis 9",2,"Einelternfamilientarif",33.9,18,46.9
1999,100,"Kreis 10",0,"Grundtarif",38.4,20,57.3
1999,100,"Kreis 10",1,"Verheiratetentarif",69,49.5,98.4
1999,100,"Kreis 10",2,"Einelternfamilientarif",37.6,20.6,54.1
1999,110,"Kreis 11",0,"Grundtarif",33.8,18.4,50
1999,110,"Kreis 11",1,"Verheiratetentarif",60,42.1,81.8
1999,110,"Kreis 11",2,"Einelternfamilientarif",33.9,19.6,49
1999,120,"Kreis 12",0,"Grundtarif",28.3,15.6,43
1999,120,"Kreis 12",1,"Verheiratetentarif",55,40,72.1
1999,120,"Kreis 12",2,"Einelternfamilientarif",30.3,15,42.7
2000,10,"Kreis 1",0,"Grundtarif",40,17.8,68.7
2000,10,"Kreis 1",1,"Verheiratetentarif",89.7,54.4,140.6
2000,10,"Kreis 1",2,"Einelternfamilientarif",53.5,26.8,92
2000,20,"Kreis 2",0,"Grundtarif",39.1,20,60.6
2000,20,"Kreis 2",1,"Verheiratetentarif",72.5,51.1,106.5
2000,20,"Kreis 2",2,"Einelternfamilientarif",40.75,23,59.45
2000,30,"Kreis 3",0,"Grundtarif",34.6,18.4,52.2
2000,30,"Kreis 3",1,"Verheiratetentarif",60.25,41.9,82.1
2000,30,"Kreis 3",2,"Einelternfamilientarif",33.6,17.3,48.3
2000,40,"Kreis 4",0,"Grundtarif",30.2,15.4,48.5
2000,40,"Kreis 4",1,"Verheiratetentarif",53.8,36,72
2000,40,"Kreis 4",2,"Einelternfamilientarif",31.7,14.3,46.1
2000,50,"Kreis 5",0,"Grundtarif",35,18.2,53.7
2000,50,"Kreis 5",1,"Verheiratetentarif",56.5,40.1,77.2
2000,50,"Kreis 5",2,"Einelternfamilientarif",33.8,20.3,45.9
2000,60,"Kreis 6",0,"Grundtarif",39.6,20,61.9
2000,60,"Kreis 6",1,"Verheiratetentarif",74.3,50.9,112.1
2000,60,"Kreis 6",2,"Einelternfamilientarif",39.9,22.6,58
2000,70,"Kreis 7",0,"Grundtarif",43.2,19.2,69.6
2000,70,"Kreis 7",1,"Verheiratetentarif",97.5,61,164.6
2000,70,"Kreis 7",2,"Einelternfamilientarif",50.05,29.1,81.85
