"ObjectID","Datum","Standort","Velo_in","Velo_out","Fuss_in","Fuss_out"
1,2009-12-02T00:00:00,"ECO09022739",2,3,,
2,2009-12-02T00:15:00,"ECO09022739",0,2,,
3,2009-12-02T00:30:00,"ECO09022739",0,0,,
4,2009-12-02T00:45:00,"ECO09022739",0,2,,
5,2009-12-02T01:00:00,"ECO09022739",0,0,,
6,2009-12-02T01:15:00,"ECO09022739",0,1,,
7,2009-12-02T01:30:00,"ECO09022739",0,1,,
8,2009-12-02T01:45:00,"ECO09022739",0,0,,
9,2009-12-02T02:00:00,"ECO09022739",1,0,,
10,2009-12-02T02:15:00,"ECO09022739",0,0,,
11,2009-12-02T02:30:00,"ECO09022739",0,1,,
12,2009-12-02T02:45:00,"ECO09022739",0,0,,
13,2009-12-02T03:00:00,"ECO09022739",0,0,,
14,2009-12-02T03:15:00,"ECO09022739",0,0,,
15,2009-12-02T03:30:00,"ECO09022739",0,0,,
16,2009-12-02T03:45:00,"ECO09022739",0,0,,
17,2009-12-02T04:00:00,"ECO09022739",0,0,,
18,2009-12-02T04:15:00,"ECO09022739",0,0,,
19,2009-12-02T04:30:00,"ECO09022739",0,0,,
20,2009-12-02T04:45:00,"ECO09022739",0,0,,
21,2009-12-02T05:00:00,"ECO09022739",0,1,,
22,2009-12-02T05:15:00,"ECO09022739",0,0,,
23,2009-12-02T05:30:00,"ECO09022739",0,0,,
24,2009-12-02T05:45:00,"ECO09022739",0,0,,
25,2009-12-02T06:00:00,"ECO09022739",0,0,,
26,2009-12-02T06:15:00,"ECO09022739",3,0,,
27,2009-12-02T06:30:00,"ECO09022739",3,0,,
28,2009-12-02T06:45:00,"ECO09022739",0,0,,
29,2009-12-02T07:00:00,"ECO09022739",4,0,,
30,2009-12-02T07:15:00,"ECO09022739",2,0,,
31,2009-12-02T07:30:00,"ECO09022739",4,1,,
32,2009-12-02T07:45:00,"ECO09022739",4,3,,
33,2009-12-02T08:00:00,"ECO09022739",10,0,,
34,2009-12-02T08:15:00,"ECO09022739",15,3,,
35,2009-12-02T08:30:00,"ECO09022739",18,2,,
